Company Name,Symbol
ACC Ltd.,ACC
Abbott India Ltd.,ABBOTINDIA
Adani Enterprises Ltd.,ADANIENT
Adani Green Energy Ltd.,ADANIGREEN
Adani Transmission Ltd.,ADANITRANS
Alkem Laboratories Ltd.,ALKEM
Ambuja Cements Ltd.,AMBUJACEM
Apollo Hospitals Enterprise Ltd.,APOLLOHOSP
Aurobindo Pharma Ltd.,AUROPHARMA
Avenue Supermarts Ltd.,DMART
Bajaj Holdings & Investment Ltd.,BAJAJHLDNG
Bandhan Bank Ltd.,BANDHANBNK
Berger Paints India Ltd.,BERGEPAINT
Biocon Ltd.,BIOCON
Bosch Ltd.,BOSCHLTD
Cadila Healthcare Ltd.,CADILAHC
Colgate Palmolive (India) Ltd.,COLPAL
DLF Ltd.,DLF
Dabur India Ltd.,DABUR
GAIL (India) Ltd.,GAIL
Gland Pharma Ltd.,GLAND
Godrej Consumer Products Ltd.,GODREJCP
HDFC Asset Management Company Ltd.,HDFCAMC
Havells India Ltd.,HAVELLS
Hindustan Petroleum Corporation Ltd.,HINDPETRO
ICICI Lombard General Insurance Company Ltd.,ICICIGI
ICICI Prudential Life Insurance Company Ltd.,ICICIPRULI
Indraprastha Gas Ltd.,IGL
Indus Towers Ltd.,INDUSTOWER
Info Edge (India) Ltd.,NAUKRI
InterGlobe Aviation Ltd.,INDIGO
Jubilant Foodworks Ltd.,JUBLFOOD
Larsen & Toubro Infotech Ltd.,LTI
Lupin Ltd.,LUPIN
MRF Ltd.,MRF
Marico Ltd.,MARICO
Muthoot Finance Ltd.,MUTHOOTFIN
NMDC Ltd.,NMDC
Petronet LNG Ltd.,PETRONET
Pidilite Industries Ltd.,PIDILITIND
Piramal Enterprises Ltd.,PEL
Procter & Gamble Hygiene & Health Care Ltd.,PGHH
Punjab National Bank,PNB
SBI Cards and Payment Services Ltd.,SBICARD
Siemens Ltd.,SIEMENS
Torrent Pharmaceuticals Ltd.,TORNTPHARM
United Breweries Ltd.,UBL
United Spirits Ltd.,MCDOWELL-N
Vedanta Ltd.,VEDL
Yes Bank Ltd.,YESBANK
